feature,nans,infs,zeros,mean,std,min,q25,median,q75,max,skewness,kurtosis
return,0,0,516,0.0006676390606392784,0.016102801977575906,-0.2384841190698378,-0.0063372842935377005,0.0006454812022984,0.00777603813281965,0.2466515048202757,0.20583879185348902,17.54182285346503
log_return,0,0,516,0.0005378848873365316,0.01610384869582508,-0.2724442520644285,-0.00635745012253975,0.00064527296874625,0.0077459605705197995,0.2204611607755045,-0.26316278912975033,17.67364432526061
ewma_vol,0,0,0,0.01391124234054075,0.007974344099039658,0.0034770321332181,0.0093579542007112,0.012100086492136501,0.0158597952092343,0.1196305439481471,3.814386671871524,24.07113679743945
volatility_ratio_5_21,0,0,0,0.9330756117582967,0.3746524417389215,0.032812458984427,0.6537588293611468,0.9016675767928344,1.179987768859077,2.134112396409848,0.38729486216645354,-0.2812678352528972
garman_klass_vol,0,0,0,0.01095465397650847,0.007693758542434506,0.0012993280331347,0.00669911722623575,0.00911190091953675,0.012751510109246,0.328508641417229,5.577409871885156,83.7232856552025
garch_vol,0,0,0,0.014312396059340577,0.007064121126163887,0.0058203409768408,0.010375546176711225,0.01284770629286305,0.015858047110487376,0.1273601584694802,4.441682296450513,33.46861203254228
shadow_upper,0,0,3238,0.26849475718912774,0.2048830271187274,0.0,0.10000591102047207,0.22778074435624285,0.4000015178788758,0.9999999961240338,0.7529884420038642,-0.1326931687887729
shadow_lower,0,0,3149,0.28418727474749367,0.21116048620242034,0.0,0.10881207367904241,0.2459038907082678,0.42592687042460936,0.9999999895833236,0.6727685608741333,-0.30425739009937436
shadow_ratio,0,0,3238,2.242698777032636,2.992346172379173,0.0,0.33333331691799367,0.9333335849014486,2.5998617011408967,10.0,1.7212001053323749,1.6863820219797505
vwap,0,0,0,78.36745811675125,55.21049931622288,3.1478952625181558,36.034792899773855,64.6617704864318,105.83726164368596,422.0745739094666,1.6043968102537087,3.95971028619208
vwap_distance,0,0,0,0.005973930180087027,0.03597958053817849,-0.4663593300334585,-0.01286934726559965,0.0071722921140951,0.026127394407678077,0.4000167219308056,-0.479044275185063,7.4412168452029315
order_flow_imbalance,0,0,517,656208.1067145377,77812426.46296807,-1880998000.0,-8908300.0,2096400.0,9531200.0,1867110000.0,-0.4831687622111399,85.71228176621388
corwin_schultz_spread,0,0,0,0.004086441795391101,0.0033937360852192965,2.112817158520755e-05,0.0020322705058478,0.0033360335520383998,0.005130699002153275,0.0645052140424989,3.7701260138295924,29.586362131801952
return_shock_zscore,0,0,0,-0.01580362894318366,0.9864131396084438,-4.222774841417489,-0.6228887529234295,-0.02297172954141375,0.5960352312495389,4.26342990131979,-0.010264134693987497,0.7023000484123827
return_jump_indicator,0,0,78845,0.006739732930209121,0.08181927195801121,0.0,0.0,0.0,0.0,1.0,12.057616339054274,143.38972452105742
volume_spike_index,0,0,0,1.0053994744839507,0.40973995862109963,0.1560542780245328,0.7640117275110639,0.9217545055612579,1.1362595690793533,11.526104129903132,3.394416609761796,28.590354626679805
joint_vol_vol_shock,0,0,0,-0.03747415304230947,1.5311956980847268,-32.85148740570509,-0.551398241414225,-0.0182059192011448,0.5304270846793845,28.797652888722208,-1.1071800050256486,40.4906488225446
regime_state_0,0,0,7,0.7026156247680809,0.37655976901355315,0.0,0.44300108987878445,0.9304165624746896,0.9768880555629458,0.9866027824518208,-1.0330153643749582,-0.6658726778388782
regime_state_1,0,0,0,0.2601500948912687,0.3439049125923704,4.187005053974202e-105,0.021298184940615476,0.059992330206304456,0.41772894128526966,0.9846606931467992,1.1964989953738379,-0.22297613715000564
regime_state_2,0,0,0,0.03723428034065034,0.16541499005817323,0.0002693556527165,0.000402985221222825,0.00079746499507125,0.0045089102279711,1.0,5.20898124031312,26.135795301260615
regime_label,0,0,58642,0.2929453262786596,0.5201183062331275,0.0,0.0,0.0,1.0,2.0,1.5653104021402415,1.5363161956914988
